en_original;bg_original;cs_original;da_original;de_original;el_original;es_original;et_original;fi_original;fr_original;hr_original;hu_original;it_original;lt_original;lv_original;mt_original;nl_original;pl_original;pt_original;ro_original;sk_original;sl_original;sv_original;no_original;is_original
DO NOT fight fire when fire reaches explosives.;НЕ се опитвайте да гасите пожара, ако огънят наближи експлозиви.;Požár NEHASTE, dostane-li se k výbušninám.;BEKÆMP IKKE branden, hvis denne når eksplosiverne.;KEINE Brandbekämpfung, wenn das Feuer explosive Stoffe/ Gemische/Erzeugnisse erreicht.;ΜΗΝ προσπαθείτε να σβήσετε την πυρκαγιά, όταν η φωτιά πλησιάζει σε εκρηκτικά.;NO luchar contra el incendio cuando el fuego llega a los explosivos.;Kui tuli jõuab lõhkeaineteni, MITTE teha kustutustöid.;Tulta EI SAA yrittää sammuttaa sen saavutettua räjähteet.;NE PAS combattre l’incendie lorsque le feu atteint les explosifs.;NE gasiti vatru kada plamen može zahvatiti eksplozive.;TILOS a tűz oltása, ha az robbanóanyagra átterjedt.;NON utilizzare mezzi estinguenti se l’incendio raggiunge materiali esplosivi.;NEGESINTI gaisro, jeigu ugnis pasiekia sprogmenis.;NECENSTIES dzēst ugunsgrēku, ja uguns piekļūst sprādzienbīstamām vielām.;TIPPRUVAX TITFI n-nar meta n-nar jilħaq l-isplussivi.;NIET blussen wanneer het vuur de ontplofbare stoffen bereikt.;NIE gasić pożaru, jeżeli ogień dosięgnie materiały wybuchowe;Se o fogo atingir os explosivos, NÃO tentar combatê-lo.;NU încercați să stingeți incendiul atunci când focul a ajuns la explozivi.;Požiar NEHASTE, ak sa oheň priblížil k výbušninám.;NE gasiti, ko ogenj doseže eksploziv.;Försök INTE bekämpa branden när den når explosiva varor.;IKKE bekjemp brannen når brannen når eksplosiver.;EKKI slökkva eld þegar eldur nær sprengiefnum.
Fight fire remotely due to the risk of explosion.;Гасете пожара от разстояние поради опасност от експлозия.;Kvůli nebezpečí výbuchu haste z dostatečné vzdálenosti.;Bekæmp branden på afstand på grund af eksplosionsfare.;Wegen Explosionsgefahr Brand aus der Entfernung bekämpfen.;Προσπαθήστε να σβήσετε την πυρκαγιά από απόσταση, επειδή υπάρχει κίνδυνος έκρηξης.;Luchar contra el incendio a distancia, dado el riesgo de explosión.;Plahvatusohu tõttu teha kustutustöid eemalt.;Sammuta palo etäältä räjähdysvaaran takia.;Combattre l’incendie à distance à cause du risque d’explosion.;Gasiti s veće udaljenosti zbog opasnosti od eksplozije.;A tűz oltását robbanásveszély miatt távolból kell végezni.;Rischio di esplosione. Utilizzare i mezzi estinguenti a grande distanza.;Gaisrą gesinti iš toli dėl sprogimo pavojaus.;Dzēst ugunsgrēku no attāluma eksplozijas riska dēļ.;Itfi n-nar mill-bogħod minħabba r-riskju ta’ splużjoni.;Op afstand blussen omwille van ontploffingsgevaar.;Z powodu ryzyka wybuchu gasić pożar z odległości.;Combater o incêndio à distância, devido ao risco de explosão.;Stingeți incendiul de la distanță din cauza pericolului de explozie.;Z dôvodu nebezpečenstva výbuchu požiar haste z diaľky.;Gasiti z večje razdalje zaradi nevarnosti eksplozije.;Bekämpa branden på avstånd på grund av explosionsrisken.;Bekjemp brannen på avstand på grunn av eksplosjonsfare.;Slökkvið eld úr fjarlægð vegna sprengihættu.
Stop leak if safe to do so.;Спрете теча, ако е безопасно.;Zastavte únik, můžete-li tak učinit bez rizika.;Stands lækagen, hvis dette er sikkert.;Undichtigkeit beseitigen, wenn gefahrlos möglich.;Σταματήστε τη διαρροή, εφόσον δεν υπάρχει κίνδυνος.;Detener la fuga, si no hay peligro en hacerlo.;Leke peatada, kui seda on võimalik teha ohutult.;Sulje vuoto, jos sen voi tehdä turvallisesti.;Obturer la fuite si cela peut se faire sans danger.;Ako je sigurno, zaustaviti istjecanje.;Meg kell szüntetni a szivárgást, ha ez biztonságosan megtehető.;Bloccare la perdita se non c’è pericolo.;Sustabdyti nuotėkį, jeigu galima saugiai tai padaryti.;Apstādināt noplūdi, ja to var izdarīt drošā veidā.;Waqqaf it-tnixxija jekk ma jkunx hemm periklu.;Het lek dichten als dat veilig gedaan kan worden.;Jeżeli jest to bezpieczne zahamować wyciek.;Deter a fuga se tal puder ser feito em segurança.;Opriți scurgerea, dacă acest lucru se poate face în siguranță.;Zastavte únik, ak je to bezpečné.;Zaustaviti puščanje, če je varno.;Stoppa läckan om det kan göras på ett säkert sätt.;Stopp lekkasje hvis det er trygt å gjøre det.;Stöðvið leka ef öruggt er að gera svo.
Storage;Съхраняване;Skladování;Opbevaring;Lagerung;Αποθήκευση;Almacenamiento;Ladustamine;Varastointi;Stockage;Skladištenje;Tárolás;Stoccaggio;Laikymas;Uzglabāšana;Skond il-ħtiġijiet tal-ħażna;Opslag;Przechowywanie;Armazenamento;Depozitare;Skladovanie;Skladiščenje;Lagring;Lagring;Geymsla
Store in accordance with ...;Съхранявайте в съответствие с ...;Skladujte v souladu s ...;Opbevar i overensstemmelse med ...;Lagerung gemäß ...;Αποθηκεύστε σύμφωνα με ...;Almacenar de acuerdo con ...;Ladustage vastavalt ...;Varastoi ... mukaisesti.;Stocker conformément à ...;Skladištiti u skladu s ...;Tárolja ... szerint.;Conservare in conformità con ...;Laikyti pagal ...;Uzglabāt saskaņā ar ...;Aħżen skont ...;Opslaan volgens ...;Przechowywać zgodnie z ...;Armazene de acordo com ...;A se depozita în conformitate cu ...;Skladujte v súlade s ...;Skladiščite v skladu z ...;Förvara i enlighet med ...;Oppbevares i samsvar med ...;Geymið í samræmi við ...
Store in a corrosion resistant/... container with a resistant inner liner.;Съхранявайте в контейнер, устойчив на корозия/..., с устойчив вътрешен слой.;Skladujte v korozivzdorném/... obalu s odolnou vnitřní vložkou.;Opbevar i en korrosionsbestandig/... beholder med en bestandig indvendig foring.;In einem korrosionsbeständigen/... Behälter mit beständiger Innenauskleidung aufbewahren.;Αποθηκεύστε σε δοχείο ανθεκτικό στη διάβρωση/... με ανθεκτική εσωτερική επένδυση.;Almacenar en un recipiente resistente a la corrosión/... con un revestimiento interior resistente.;Ladustage korrosioonikindlas/... konteineris, millel on vastupidav sisekate.;Varastoi korroosionkestävässä/... säiliössä, jossa on kestävä sisävuoraus.;Stocker dans un récipient résistant à la corrosion/... avec une doublure intérieure résistante.;Skladištiti u posudi otpornoj na koroziju/... s otpornom unutarnjom oblogom.;Tárolja korrózióálló/... tartályban, ellenálló belső béléssel.;Conservare in un contenitore resistente alla corrosione/... con un rivestimento interno resistente.;Laikyti korozijai atsparioje/... talpykloje su atspariu vidiniu sluoksniu.;Uzglabāt korozijizturīgā/... konteinerā ar izturīgu iekšējo oderi.;Aħżen f'kontenitur reżistenti għall-korrużjoni/... b'liner intern reżistenti.;Opslaan in een corrosiebestendige/... container met een bestendige binnenvoering.;Przechowywać w pojemniku odpornym na korozję/... z odporną wewnętrzną wykładziną.;Armazene em um recipiente resistente à corrosão/... com um revestimento interno resistente.;A se depozita într-un recipient rezistent la coroziune/... prevăzut cu un strat interior rezistent.;Skladujte v korózii odolnom/... obale s odolnou vnútornou vložkou.;Skladiščite v korozijsko odporni/... posodi z odpornim notranjim slojem.;Förvara i en korrosionsbeständig/... behållare med ett beständigt innerfoder.;Oppbevares i en korrosjonsbestandig/... beholder med en bestandig innerforing.;Geymið í íláti sem er tæringarþolið/... með þolnum innra fóðri.
Maintain air gap between stacks or pallets.;Да се остави въздушно пространство между купчините или палетите.;Mezi stohy nebo paletami ponechte vzduchovou mezeru.;Opbevares med luftmellemrum mellem stakkene/pallerne.;Luftspalt zwischen Stapeln oder Paletten lassen.;Να υπάρχει κενό αέρος μεταξύ των σωρών ή παλετών.;Dejar un espacio de aire entre las pilas o bandejas.;Jätta virnade või kaubaaluste vahele õhuvahe.;Jätä pinojen tai kuormalavojen väliin ilmarako.;Maintenir un intervalle d'air entre les piles ou les palettes.;Osigurati razmak između polica ili paleta.;A rakatok vagy raklapok között térközt kell hagyni.;Mantenere uno spazio libero tra gli scaffali o i pallet.;Palikti oro tarpą tarp eilių arba palečių.;Saglabāt gaisa spraugu starp krāvumiem vai paletēm.;Ħalli l-arja tgħaddi bejn l-imniezel jew il-palits.;Ruimte laten tussen stapels of pallets.;Zachować szczelinę powietrzną pomiędzy stosami lub paletami.;Respeitar as distâncias mínimas entre pilhas ou paletes.;Păstraţi un spaţiu gol între stive sau paleţi.;Medzi regálmi alebo paletami ponechajte vzduchovú medzeru.;Ohraniti zračno režo med skladi ali paletami.;Se till att det finns luft mellan staplar eller pallar.;Oppretthold luftgap mellom stabler eller paller.;Haldið loftbili milli stafla eða bretta.
Protect from sunlight.;Да се пази от пряка слънчева светлина.;Chraňte před slunečním zářením.;Beskyttes mod sollys.;Vor Sonnenbestrahlung schützen.;Να προστατεύεται από τις ηλιακές ακτίνες.;Proteger de la luz del sol.;Hoida päikesevalguse eest.;Suojaa auringonvalolta.;Protéger du rayonnement solaire.;Zaštititi od sunčevog svjetla.;Napfénytől védendő.;Proteggere dai raggi solari.;Saugoti nuo saulės šviesos.;Aizsargāt no saules gaismas.;Ipproteġi mid-dawl tax-xemx.;Tegen zonlicht beschermen.;Chronić przed światłem słonecznym.;Manter ao abrigo da luz solar.;A se proteja de lumina solară.;Chráňte pred slnečným žiarením.;Zaščititi pred sončno svetlobo.;Skyddas från solljus.;Beskytt mot sollys.;Verndið gegn sólarljósi.
Protect from sunlight. Store in a well-ventilated place.;Да се пази от пряка слънчева светлина. Да се съхранява на добре проветриво място.;Chraňte před slunečním zářením. Skladujte na dobře větraném místě.;Beskyttes mod sollys. Opbevares på et godt ventileret sted.;Vor Sonnenbestrahlung geschützt an einem gut belüfteten Ort aufbewahren.;Να προστατεύεται από τις ηλιακές ακτίνες. Αποθηκεύεται σε καλά αεριζόμενο χώρο.;Proteger de la luz del sol. Almacenar en un lugar bien ventilado.;Hoida päikesevalguse eest. Hoida hästi ventileeritavas kohas.;Suojaa auringonvalolta. Varastoi paikassa, jossa on hyvä ilmanvaihto.;Protéger du rayonnement solaire. Stocker dans un endroit bien ventilé.;"zaštititi od sunčevog svjetla; skladištiti na dobro prozračenom mjestu";Napfénytől védendő. Jól szellőző helyen tárolandó.;Proteggere dai raggi solari. Conservare in luogo ben ventilato.;Saugoti nuo saulės šviesos. Laikyti gerai vėdinamoje vietoje.;Aizsargāt no saules gaismas. Glabāt labi vēdināmās telpās.;Ipproteġi mid-dawl tax-xemx. Aħżen f'post b'ventilazzjoni tajba.;Tegen zonlicht beschermen. Op een goed geventileerde plaats bewaren.;Chronić przed światłem słonecznym. Przechowywać w dobrze wentylowanym miejscu.;Manter ao abrigo da luz solar. Armazenar em local bem ventilado.;A se proteja de lumina solară. A se depozita într-un spațiu bine ventilat.;Chráňte pred slnečným žiarením. Uchovávajte na dobre vetranom mieste.;Zaščititi pred sončno svetlobo. Hraniti na dobro prezračevanem mestu.;Skyddas från solljus. Förvaras på väl ventilerad plats.;Beskytt mot sollys. Oppbevares på et godt ventilert sted.;Verndið gegn sólarljósi. Geymið á vel loftræstu stað.
Protect from sunlight. Do no expose to temperatures exceeding 50 °C/122 °F.;Да се предпазва от пряка слънчева светлина. Да не се излага на температури, превишаващи 50 °C/122 °F.;Chraňte před slunečním zářením. Nevystavujte teplotám přesahujícím 50 °C/122 °F.;Beskyt mod sollys. Udsæt ikke for temperaturer over 50 °C/122 °F.;Vor Sonnenlicht schützen. Nicht Temperaturen über 50 °C/122 °F aussetzen.;Προστατεύστε από το ηλιακό φως. Μην εκθέτετε σε θερμοκρασίες που υπερβαίνουν τους 50 °C/122 °F.;Proteger de la luz solar. No exponer a temperaturas superiores a 50 °C/122 °F.;Hoida päikesevalguse eest. Mitte hoida temperatuuril üle 50 °C/122 °F.;Suojattava auringonvalolta. Ei saa altistaa yli 50 °C/122 °F lämpötiloille.;Protéger du rayonnement solaire. Ne pas exposer à des températures supérieures à 50 °C/122 °F.;Zaštititi od sunčeve svjetlosti. Ne izlagati temperaturama višim od 50 °C/122 °F.;Napfénytől védendő. Ne tegye ki 50 °C/122 °F feletti hőmérsékletnek.;Proteggere dalla luce solare. Non esporre a temperature superiori a 50 °C/122 °F.;Saugoti nuo saulės spindulių. Nelaikyti aukštesnėje kaip 50 °C/122 °F temperatūroje.;Sargāt no saules gaismas. Neizmantot temperatūrā, kas pārsniedz 50 °C/122 °F.;Ipproteġi mix-xemx. Tħallix espost għal temperaturi li jaqbżu l-50 °C/122 °F.;Bescherm tegen zonlicht. Niet blootstellen aan temperaturen boven 50 °C/122 °F.;Chronić przed światłem słonecznym. Nie wystawiać na działanie temperatury przekraczającej 50 °C/122 °F.;Proteger da luz solar. Não expor a temperaturas superiores a 50 °C/122 °F.;A se proteja de lumina solară. A nu se expune la temperaturi care depășesc 50 °C/122 °F.;Chráňte pred slnečným žiarením. Nevystavujte teplotám presahujúcim 50 °C/122 °F.;Zaščitite pred sončno svetlobo. Ne izpostavljajte temperaturam nad 50 °C/122 °F.;Skydda mot solljus. Utsätt inte för temperaturer över 50 °C/122 °F.;Beskytt mot sollys. Må ikke utsettes for temperaturer over 50 °C/122 °F.;Verndið gegn sólarljósi. Ekki láta verða fyrir hitastigi yfir 50 °C/122 °F.
Store at temperatures not exceeding ... °C/... °F.;Да се съхранява при температури, които не превишават ... °C/... °F.;Skladujte při teplotách nepřesahujících ... °C/... °F.;Opbevares ved temperaturer, der ikke overstiger ... °C/... °F.;Bei Temperaturen von nicht mehr als ... °C/... °F lagern.;Αποθηκεύστε σε θερμοκρασίες που δεν υπερβαίνουν τους ... °C/... °F.;Almacenar a temperaturas que no excedan de ... °C/... °F.;Hoida temperatuuril mitte üle ... °C/... °F.;Säilytä lämpötilassa, joka ei ylitä ... °C/... °F.;Stocker à des températures ne dépassant pas ... °C/... °F.;Čuvati na temperaturama koje ne prelaze ... °C/... °F.;Tárolja ... °C/... °F hőmérsékletet meg nem haladó hőmérsékleten.;Conservare a temperature non superiori a ... °C/... °F.;Laikyti ne aukštesnėje kaip ... °C/... °F temperatūroje.;Uzglabāt temperatūrā, kas nepārsniedz ... °C/... °F.;Aħżen f'temperaturi li ma jaqbżux ... °C/... °F.;Bewaren bij temperaturen niet hoger dan ... °C/... °F.;Przechowywać w temperaturze nieprzekraczającej ... °C/... °F.;Armazenar a temperaturas não superiores a ... °C/... °F.;A se păstra la temperaturi care nu depășesc ... °C/... °F.;Skladujte pri teplotách nepresahujúcich ... °C/... °F.;Shranjujte pri temperaturah, ki ne presegajo ... °C/... °F.;Förvaras vid temperaturer som inte överstiger ... °C/... °F.;Oppbevares ved temperaturer som ikke overstiger ... °C/... °F.;Geymið við hitastig sem ekki fer yfir ... °C/... °F.
Do not expose to temperatures exceeding 50°C/122°F.;Да не се излага на температури, превишаващи 50 °C/122 °F.;Nevystavujte teplotám přesahujícím 50 °C/122 °F.;Udsæt ikke for temperaturer over 50 °C/122 °F.;Nicht Temperaturen über 50 °C/122 °F aussetzen.;Μην εκθέτετε σε θερμοκρασίες που υπερβαίνουν τους 50°C/122°F.;No exponer a temperaturas superiores a 50 °C/122 °F.;Mitte hoida temperatuuril üle 50 °C/122 °F.;Ei saa altistaa yli 50 °C/122 °F lämpötiloille.;Ne pas exposer à des températures supérieures à 50 °C/122 °F.;Ne izlagati temperaturama višim od 50 °C/122 °F.;Ne tegye ki 50 °C/122 °F feletti hőmérsékletnek.;Non esporre a temperature superiori a 50 °C/122 °F.;Nelaikyti aukštesnėje kaip 50 °C/122 °F temperatūroje.;Neizmantot temperatūrā, kas pārsniedz 50 °C/122 °F.;Tħallix espost għal temperaturi li jaqbżu l-50°C/122°F.;Niet blootstellen aan temperaturen boven 50 °C/122 °F.;Nie wystawiać na działanie temperatury przekraczającej 50 °C/122 °F.;Não expor a temperaturas superiores a 50 °C/122 °F.;A nu se expune la temperaturi care depășesc 50 °C/122 °F.;Nevystavujte teplotám presahujúcim 50 °C/122 °F.;Ne izpostavljajte temperaturam nad 50 °C/122 °F.;Utsätt inte för temperaturer över 50 °C/122 °F.;Må ikke utsettes for temperaturer over 50 °C/122 °F.;Ekki láta verða fyrir hitastigi yfir 50°C/122°F.
Store bulk masses greater than than ... kg/...lbs at temperatures not exceeding ...°C/...°F.;Да се съхраняват насипни маси, по-големи от ... кг/... lbs, при температури, които не превишават ... °C/... °F.;Skladujte hromadné množství větší než ... kg/...lbs při teplotách nepřesahujících ...°C/...°F.;Opbevar bulkmasse større end ... kg/...lbs ved temperaturer, der ikke overstiger ...°C/...°F.;Massen über ... kg/... lbs bei Temperaturen von nicht mehr als ... °C/... °F lagern.;Αποθηκεύστε μάζες μεγαλύτερες από ... kg/...lbs σε θερμοκρασίες που δεν υπερβαίνουν τους ...°C/...°F.;Almacenar masas a granel superiores a ... kg/...lbs a temperaturas que no excedan de ...°C/...°F.;Hoida massi üle ... kg/...lbs temperatuuril mitte üle ...°C/...°F.;Säilytä yli ... kg/... lbs irtotavaraa lämpötilassa, joka ei ylitä ... °C/... °F.;Stocker des masses en vrac supérieures à ... kg/...lbs à des températures ne dépassant pas ...°C/...°F.;Čuvati mase veće od ... kg/... lbs na temperaturama koje ne prelaze ... °C/... °F.;Tárolja a ... kg/...lbs-nál nagyobb tömegű ömlesztett anyagokat ...°C/...°F hőmérsékletet meg nem haladó hőmérsékleten.;Conservare masse sfuse superiori a ... kg/...lbs a temperature non superiori a ...°C/...°F.;Laikyti didesnius nei ... kg/... lbs kiekius ne aukštesnėje kaip ... °C/... °F temperatūroje.;Uzglabāt lielapjoma masas, kas pārsniedz ... kg/... lbs, temperatūrā, kas nepārsniedz ... °C/... °F.;Aħżen mases kbar minn ... kg/...lbs f'temperaturi li ma jaqbżux ...°C/...°F.;Bewaar bulkhoeveelheden groter dan ... kg/...lbs bij temperaturen niet hoger dan ...°C/...°F.;Przechowywać masy większe niż ... kg/...lbs w temperaturze nieprzekraczającej ...°C/...°F.;Armazenar massas a granel superiores a ... kg/...lbs a temperaturas não superiores a ...°C/...°F.;A se depozita masele în vrac mai mari de ... kg/...lbs la temperaturi care nu depășesc ...°C/...°F.;Skladujte hromadné množstvá väčšie ako ... kg/...lbs pri teplotách nepresahujúcich ...°C/...°F.;Shranjujte večje količine, ki presegajo ... kg/... lbs, pri temperaturah, ki ne presegajo ... °C/... °F.;Förvara bulkmassor större än ... kg/... lbs vid temperaturer som inte överstiger ... °C/... °F.;Oppbevar bulkmasser større enn ... kg/...lbs ved temperaturer som ikke overstiger ...°C/...°F.;Geymið magn sem er meira en ... kg/...lbs við hitastig sem fer ekki yfir ...°C/...°F.
Store in accordance with:;Да се съхранява в съответствие с:;Skladujte v souladu s:;Opbevares i overensstemmelse med:;Lagerung gemäß:;Αποθηκεύστε σύμφωνα με:;Almacenar de acuerdo con:;Hoida vastavalt:;Säilytä seuraavasti:;Stocker conformément à :;Čuvati u skladu s:;Tárolja az alábbiak szerint:;Conservare in conformità con:;Laikyti pagal:;Uzglabāt saskaņā ar:;Aħżen skont:;Bewaren volgens:;Przechowywać zgodnie z:;Armazenar de acordo com:;A se depozita în conformitate cu:;Skladujte v súlade s:;Shranjujte v skladu z:;Förvara i enlighet med:;Oppbevar i samsvar med:;Geymið í samræmi við:
Store in a dry place.;Да се съхранява на сухо място.;Skladujte na suchém místě.;Opbevares et tørt sted.;An einem trockenen Ort aufbewahren.;Αποθηκεύεται σε στεγνό μέρος.;Almacenar en un lugar seco.;Hoida kuivas.;Varastoi kuivassa paikassa.;Stocker dans un endroit sec.;Skladištiti na suhom mjestu.;Száraz helyen tárolandó.;Conservare in luogo asciutto.;Laikyti sausoje vietoje.;Glabāt sausā vietā.;Aħżen f’post niexef.;Op een droge plaats bewaren.;Przechowywać w suchym miejscu.;Armazenar em local seco.;A se depozita într-un loc uscat.;Uchovávajte na suchom mieste.;Hraniti na suhem.;Förvaras torrt.;Oppbevar på et tørt sted.;Geymið á þurrum stað.
Store in a dry place. Store in a closed container.;Да се съхранява на сухо място. Да се съхранява в затворен съд.;Skladujte na suchém místě. Skladujte v uzavřeném obalu.;Opbevares et tørt sted. Opbevares i en lukket beholder.;In einem geschlossenen Behälter an einem trockenen Ort aufbewahren.;Αποθηκεύεται σε στεγνό μέρος. Φυλάσσεται σε κλειστό περιέκτη.;Almacenar en un lugar seco. Almacenar en un recipiente cerrado.;Hoida kuivas. Hoida suletud mahutis.;Varastoi kuivassa paikassa. Varastoi suljettuna.;Stocker dans un endroit sec. Stocker dans un récipient fermé.;"skladištiti na suhom mjestu; skladištiti u zatvorenom spremniku";Száraz helyen tárolandó. Zárt edényben tárolandó.;Conservare in luogo asciutto e in recipiente chiuso.;Laikyti sausoje vietoje. Laikyti uždaroje talpykloje.;Glabāt sausā vietā. Glabāt aizvērtā tvertnē.;Aħżen f’post niexef. Aħżen f’kontenitur magħluq.;Op een droge plaats bewaren. In gesloten verpakking bewaren.;Przechowywać w suchym miejscu. Przechowywać w zamkniętym pojemniku.;Armazenar em local seco. Armazenar em recipiente fechado.;A se depozita într-un loc uscat, într-un recipient închis.;Uchovávajte na suchom mieste. Uchovávajte v uzavretej nádobe.;Hraniti na suhem. Hraniti v zaprti posodi.;Förvaras torrt. Förvaras i sluten behållare.;Oppbevar på et tørt sted. Oppbevar i en lukket beholder.;Geymið á þurrum stað. Geymið í lokuðum ílátum.
Store in a well-ventilated place.;Да се съхранява на добре проветриво място.;Skladujte na dobře větraném místě.;Opbevares på et godt ventileret sted.;An einem gut belüfteten Ort aufbewahren.;Αποθηκεύεται σε καλά αεριζόμενο χώρο.;Almacenar en un lugar bien ventilado.;Hoida hästi ventileeritavas kohas.;Varastoi paikassa, jossa on hyvä ilmanvaihto.;Stocker dans un endroit bien ventilé.;Skladištiti na dobro prozračenom mjestu.;Jól szellőző helyen tárolandó.;Conservare in luogo ben ventilato.;Laikyti gerai vėdinamoje vietoje.;Glabāt labi vēdināmā vietā.;Aħżen f’post b'ventilazzjoni tajba.;Op een goed geventileerde plaats bewaren.;Przechowywać w dobrze wentylowanym miejscu.;Armazenar em local bem ventilado.;A se depozita într-un spațiu bine ventilat.;Uchovávajte na dobre vetranom mieste.;Hraniti na dobro prezračevanem mestu.;Förvaras på väl ventilerad plats.;Oppbevar på et godt ventilert sted.;Geymið á vel loftræstum stað.
Store in a well-ventilated place. Keep container tightly closed.;Да се съхранява на добре проветриво място. Съдът да се съхранява плътно затворен.;Skladujte na dobře větraném místě. Uchovávejte obal těsně uzavřený.;Opbevares på et godt ventileret sted. Hold beholderen tæt lukket.;Behälter dicht verschlossen an einem gut belüfteten Ort aufbewahren.;Αποθηκεύεται σε καλά αεριζόμενο χώρο. Ο περιέκτης διατηρείται ερμητικά κλειστός.;Almacenar en un lugar bien ventilado. Mantener el recipiente cerrado herméticamente.;Hoida hästi ventileeritavas kohas. Hoida mahuti tihedalt suletuna.;Varastoi paikassa, jossa on hyvä ilmanvaihto. Säilytä tiiviisti suljettuna.;Stocker dans un endroit bien ventilé. Maintenir le récipient fermé de manière étanche.;"skladištiti na dobro prozračenom mjestu; čuvati u dobro zatvorenom spremniku";Jól szellőző helyen tárolandó. Az edény szorosan lezárva tartandó.;Tenere il recipiente ben chiuso e in luogo ben ventilato.;Laikyti gerai vėdinamoje vietoje. Talpyklą laikyti sandariai uždarytą.;Glabāt labi vēdināmās telpās. Tvertni turēt cieši noslēgtu.;Aħżen f'post b'ventilazzjoni tajba. Żomm il-kontenitur magħluq sew.;Op een goed geventileerde plaats bewaren. In goed gesloten verpakking bewaren.;Przechowywać w dobrze wentylowanym miejscu. Przechowywać pojemnik szczelnie zamknięty.;Armazenar em local bem ventilado. Manter o recipiente bem fechado.;A se depozita într-un spațiu bine ventilat. Păstrați recipientul închis etanș.;Uchovávajte na dobre vetranom mieste. Nádobu uchovávajte tesne uzavretú.;Hraniti na dobro prezračevanem mestu. Hraniti v tesno zaprti posodi.;Förvaras på väl ventilerad plats. Förpackningen ska förvaras väl tillsluten.;Oppbevar på et godt ventilert sted. Hold beholderen tett lukket.;Geymið á vel loftræstum stað. Geymið ílátin þétt lokuð.
Store in a well-ventilated place. Keep cool.;Да се съхранява на добре проветриво място. Да се съхранява на хладно.;Skladujte na dobře větraném místě. Uchovávejte v chladu.;Opbevares på et godt ventileret sted. Opbevares køligt.;Kühl an einem gut belüfteten Ort aufgewahren.;Αποθηκεύεται σε καλά αεριζόμενο χώρο. Διατηρείται δροσερό.;Almacenar en un lugar bien ventilado. Mantener en lugar fresco.;Hoida hästi ventileeritavas kohas. Hoida jahedas.;Varastoi paikassa, jossa on hyvä ilmanvaihto. Säilytä viileässä.;Stocker dans un endroit bien ventilé. Tenir au frais.;"skladištiti na dobro prozračenom mjestu; održavati hladnim";Jól szellőző helyen tárolandó. Hűvös helyen tartandó.;Conservare in luogo fresco e ben ventilato.;Laikyti gerai vėdinamoje vietoje. Laikyti vėsioje vietoje.;Glabāt labi vēdināmās telpās. Turēt vēsumā.;Aħżen f'post b'ventilazzjoni tajba. Żomm frisk.;Op een goed geventileerde plaats bewaren. Koel bewaren.;Przechowywać w dobrze wentylowanym miejscu. Przechowywać w chłodnym miejscu.;Armazenar em local bem ventilado. Conservar em ambiente fresco.;A se depozita într-un spațiu bine ventilat. A se păstra la rece.;Uchovávajte na dobre vetranom mieste. Uchovávajte v chlade.;Hraniti na dobro prezračevanem mestu. Hraniti na hladnem.;Förvaras på väl ventilerad plats. Förvaras svalt.;Oppbevar på et godt ventilert sted. Hold avkjølt.;Geymið á vel loftræstum stað. Geymið kalt.
Store in a closed container.;Да се съхранява в затворен съд.;Skladujte v uzavřeném obalu.;Opbevares i en lukket beholder.;In einem geschlossenen Behälter aufbewahren.;Φυλάσσεται σε κλειστό περιέκτη.;Almacenar en un recipiente cerrado.;Hoida suletud mahutis.;Varastoi suljettuna.;Stocker dans un récipient fermé.;Skladištiti u zatvorenom spremniku.;Zárt edényben tárolandó.;Conservare in un recipiente chiuso.;Laikyti uždaroje talpykloje.;Glabāt slēgtā tvertnē.;Aħżen f’kontenitur magħluq.;In gesloten verpakking bewaren.;Przechowywać w zamkniętym pojemniku.;Armazenar em recipiente fechado.;A se depozita într-un recipient închis.;Uchovávajte v uzavretej nádobe.;Hraniti v zaprti posodi.;Förvaras i sluten behållare.;Oppbevar i en lukket beholder.;Geymið í lokuðum ílátum.
Store locked up.;Да се съхранява под ключ.;Skladujte uzamčené.;Opbevares under lås.;Unter Verschluss aufbewahren.;Φυλάσσεται κλειδωμένο.;Guardar bajo llave.;Hoida lukustatult.;Varastoi lukitussa tilassa.;Garder sous clef.;Skladištiti pod ključem.;Elzárva tárolandó.;Conservare sotto chiave.;Laikyti užrakintą.;Glabāt slēgtā veidā.;Aħżen f'post imsakkar.;Achter slot bewaren.;Przechowywać pod zamknięciem.;Armazenar em local fechado à chave.;A se depozita sub cheie.;Uchovávajte uzamknuté.;Hraniti zaklenjeno.;Förvaras inlåst.;Oppbevar innelåst.;Geymið læst.
Disposal;Изхвърляне;Likvidace;Bortskaffelse;Entsorgung;Διάθεση;Eliminación;Käitlus;Hävittäminen;Élimination;Zbrinjavanje;Ártalmatlanítás;Smaltimento;Šalinimas;Atkritumu apsaimniekošana;Rimi;Verwijdering;Usuwanie;Eliminação;Eliminare;Likvidácia;Odstranjevanje;Avfallshantering;Avhending;Förgun
